id,fecha,empresa,sistema,tipo_fallo,severidad,pais,dominio,evidencia,estado,resumen,fuente,url
INC-001,2015-06-28,Google,Google Photos,sesgo,4,EE. UU.,Consumo,Periodística,Mitigado,El clasificador de imágenes etiquetó a personas negras como 'gorillas'. Google desactivó la etiqueta en lugar de corregir el modelo.,BBC News,https://www.bbc.com/news/technology-33347866
INC-002,2016-03-23,Microsoft,Tay (chatbot de Twitter),contencion,3,EE. UU.,Consumo,Oficial,Sistema retirado,Un chatbot con aprendizaje en línea fue envenenado por los usuarios y publicó contenido racista; retirado en menos de 24 horas.,Microsoft Official Blog,https://blogs.microsoft.com/blog/2016/03/25/learning-tays-introduction/
INC-003,2016-05-23,Northpointe (Equivant),COMPAS,sesgo,4,EE. UU.,Justicia,Periodística,Sin remedio público,ProPublica documentó que el algoritmo de reincidencia producía el doble de falsos positivos en acusados negros que en blancos.,ProPublica,https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing
INC-004,2018-03-18,Uber ATG,Vehículo autónomo de pruebas,contencion,5,EE. UU.,Movilidad,Regulador,Sistema retirado,El sistema de percepción reclasificó repetidamente a una peatona y suprimió el frenado de emergencia; muerte de Elaine Herzberg. Uber cerró el programa.,NTSB HWY18MH010,https://www.ntsb.gov/investigations/Pages/HWY18MH010.aspx
INC-005,2018-10-10,Amazon,Motor interno de cribado de CVs,sesgo,3,EE. UU.,RRHH,Periodística,Sistema retirado,El modelo aprendió de diez años de contrataciones mayoritariamente masculinas y penalizaba los CVs que contenían la palabra 'women'. Proyecto cancelado.,Reuters,https://www.reuters.com/article/us-amazon-com-jobs-automation-insight-idUSKCN1MK08G
INC-006,2020-01-09,Departamento de Policía de Detroit,DataWorks Plus (reconocimiento facial),sesgo,4,EE. UU.,Sector público,Judicial,En litigio,Robert Williams fue detenido 30 horas por una identificación facial errónea: primer caso documentado de detención injusta por esta tecnología en EE. UU.,ACLU / The New York Times,https://www.aclu.org/cases/williams-v-city-of-detroit-face-recognition-false-arrest
INC-007,2020-08-13,Ofqual,Algoritmo de calificación A-level,sesgo,4,Reino Unido,Sector público,Regulador,Revertido,El modelo de estandarización bajó cerca del 40% de las notas previstas y penalizó de forma desproporcionada a los centros públicos grandes. Revertido en cuatro días.,Ofqual / BBC News,https://www.bbc.com/news/uk-53810655
INC-008,2021-01-15,Belastingdienst (Agencia Tributaria NL),Sistema de detección de fraude en ayudas,sesgo,5,Países Bajos,Sector público,Regulador,Sin remedio público,El sistema de riesgo usó la doble nacionalidad como señal de fraude y arruinó a decenas de miles de familias. El Gobierno dimitió en pleno.,Amnistía Internacional,https://www.amnesty.org/en/documents/eur35/4686/2021/en/
INC-009,2021-11-02,Zillow,Zillow Offers (modelo de precios),contencion,3,EE. UU.,Finanzas,Oficial,Sistema retirado,El modelo de valoración sobreestimó los precios de compra en un mercado volátil; cierre de la división con ~304M USD de deterioro y el 25% de la plantilla despedida.,Zillow Q3 2021 Shareholder Letter,https://investors.zillowgroup.com/investors/news-and-events/news/news-details/2021/Zillow-Group-Reports-Third-Quarter-2021-Financial-Results/default.aspx
INC-010,2023-02-16,Microsoft,Bing Chat ('Sydney'),contencion,3,EE. UU.,Consumo,Periodística,Mitigado,En sesiones largas el asistente adoptó una persona no prevista con respuestas manipuladoras y amenazantes. Microsoft limitó los turnos por conversación.,The New York Times,https://www.nytimes.com/2023/02/16/technology/bing-chatbot-transcript.html
INC-011,2023-03-20,OpenAI,ChatGPT (cliente redis-py),seguridad,3,EE. UU.,Infraestructura IA,Oficial,Mitigado,Un fallo en la librería de caché expuso títulos de conversaciones ajenas y datos parciales de pago del 1.2% de suscriptores Plus durante unas nueve horas.,OpenAI Incident Report,https://openai.com/index/march-20-chatgpt-outage/
INC-012,2023-05-02,Samsung Electronics,Uso de ChatGPT por empleados,seguridad,2,Corea del Sur,Infraestructura IA,Periodística,Mitigado,Ingenieros pegaron código fuente y notas internas en un LLM de terceros; Samsung prohibió la IA generativa en dispositivos corporativos.,Bloomberg,https://www.bloomberg.com/news/articles/2023-05-02/samsung-bans-chatgpt-and-other-generative-ai-use-by-staff-after-leak
INC-013,2023-06-22,Levidow Levidow & Oberman,ChatGPT como buscador jurídico,alucinacion,3,EE. UU.,Justicia,Judicial,Sancionado,Un escrito judicial citó seis sentencias inexistentes generadas por el modelo; el juez Castel sancionó al despacho con 5.000 USD (Mata v. Avianca).,SDNY 22-cv-1461 (Opinion),https://www.courtlistener.com/docket/63107798/mata-v-avianca-inc/
INC-014,2023-12-04,Hugging Face,Tokens de API en repositorios del Hub,seguridad,4,Global,Infraestructura IA,Investigación de seguridad,Mitigado,"Lasso Security encontró 1.681 tokens válidos expuestos con permiso de escritura sobre organizaciones como Meta-Llama, Bloom o Pythia: riesgo de envenenamiento de modelos.",Lasso Security,https://www.lasso.security/blog/1500-huggingface-api-tokens-were-exposed-leaving-millions-of-meta-llama-bloom-and-pythia-users-for-supply-chain-attacks
INC-015,2023-12-17,Chevrolet of Watsonville,Chatbot de concesionario con GPT,contencion,1,EE. UU.,Consumo,Periodística,Sistema retirado,"Sin guardarraíles de dominio ni de compromiso comercial, el bot aceptó vender un Tahoe por 1 USD y respondió a peticiones ajenas al negocio.",Business Insider,https://www.businessinsider.com/car-dealership-chevrolet-chatbot-chatgpt-pranks-chevy-2023-12
INC-016,2024-02-04,Arup,Videollamada con deepfake del CFO,seguridad,4,Hong Kong,Finanzas,Periodística,Sin remedio público,Un empleado transfirió ~25.6M USD tras una videoconferencia en la que todos los demás participantes eran deepfakes generados sobre material público.,CNN,https://edition.cnn.com/2024/02/04/asia/deepfake-cfo-scam-hong-kong-intl-hnk/index.html
INC-017,2024-02-21,Google,Gemini (generación de imágenes de personas),sesgo,2,EE. UU.,Consumo,Oficial,Mitigado,Un ajuste de diversidad aplicado de forma indiscriminada produjo representaciones históricamente incorrectas; Google pausó la generación de imágenes de personas.,Google Blog,https://blog.google/products/gemini/gemini-image-generation-issue/
INC-018,2024-02-14,Air Canada,Chatbot de atención al cliente,alucinacion,2,Canadá,Consumo,Judicial,Sancionado,El bot inventó una política de reembolso por duelo; el tribunal (Moffatt v. Air Canada) rechazó que la aerolínea no respondiera de lo que dice su chatbot.,BC Civil Resolution Tribunal 2024 BCCRT 149,https://decisions.civilresolutionbc.ca/crt/crtd/en/item/525448/index.do
INC-019,2024-02-27,Hugging Face,Modelos publicados en el Hub,seguridad,4,Global,Infraestructura IA,Investigación de seguridad,Mitigado,JFrog identificó cerca de 100 modelos maliciosos; al menos uno ejecutaba una reverse shell al deserializar el pickle del checkpoint.,JFrog Security Research,https://jfrog.com/blog/data-scientists-targeted-by-malicious-hugging-face-ml-models-with-silent-backdoor/
